                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5844,                 2.1661,                 1.7236,                 0.5395,                0.36997,                0.37827,                0.18401,                 1.8788,                 3.2498,                 2.2762,             0.00041295,             0.00041295,             0.00041295
                      2,                 1.7239,                 1.9653,                 1.7916,                0.36227,                0.42643,                0.31543,                0.14309,                 2.0398,                 2.9758,                 2.4321,             0.00081319,             0.00081319,             0.00081319
                      3,                 1.7352,                 1.9765,                 1.8144,                0.44604,                0.40748,                0.35119,                0.15802,                 2.0238,                 2.6279,                 2.3521,              0.0011969,              0.0011969,              0.0011969
                      4,                 1.6869,                 1.9174,                 1.7615,                0.49139,                0.40507,                0.42166,                0.20216,                 1.9151,                 2.8891,                 2.1662,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.6797,                 1.8571,                 1.7736,                0.50009,                0.48835,                0.46834,                0.22672,                 1.8683,                 2.0072,                 2.1154,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.5973,                 1.7104,                 1.7019,                0.60219,                0.53082,                0.54646,                0.29435,                 1.7539,                  1.669,                 2.0234,               0.001151,               0.001151,               0.001151
                      7,                 1.5726,                 1.6019,                 1.6815,                0.67243,                0.54331,                 0.6081,                0.32323,                 1.7453,                 1.5961,                 1.9764,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.5148,                 1.5345,                 1.6308,                0.64636,                0.48513,                0.55302,                0.30163,                 1.7486,                 1.7251,                 1.9712,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4902,                  1.481,                 1.6203,                0.72989,                0.57695,                0.65569,                0.36807,                 1.6253,                 1.4273,                 1.8315,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4919,                   1.43,                 1.5989,                0.65439,                0.65233,                0.67466,                0.37872,                 1.5562,                 1.5548,                 1.8115,               0.001052,               0.001052,               0.001052
                     11,                  1.455,                 1.3875,                 1.6002,                0.73045,                0.63794,                0.70282,                0.41188,                 1.5111,                 1.2119,                 1.7657,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4372,                 1.3471,                 1.5848,                0.76655,                0.65701,                0.71108,                0.41752,                 1.4867,                 1.1637,                 1.7452,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.4156,                 1.3126,                 1.5702,                0.77946,                0.62095,                0.68911,                0.40543,                 1.5122,                 1.2921,                 1.7805,             0.00097775,             0.00097775,             0.00097775
                     14,                  1.389,                 1.2826,                 1.5505,                0.76458,                  0.641,                 0.7068,                0.42273,                 1.4609,                 1.2664,                 1.7355,               0.000953,               0.000953,               0.000953
                     15,                 1.3594,                 1.2287,                  1.528,                0.75938,                0.65215,                 0.7136,                0.44161,                 1.4265,                 1.1391,                 1.6867,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3589,                 1.2106,                 1.5246,                0.70818,                0.71809,                0.72451,                0.43902,                 1.4307,                 1.0941,                 1.6745,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.2984,                 1.1644,                 1.4836,                0.73802,                0.66312,                0.71944,                0.41803,                 1.5021,                 1.1545,                 1.7489,             0.00087875,             0.00087875,             0.00087875
                     18,                  1.335,                 1.1729,                 1.5112,                0.74632,                0.71052,                0.73639,                0.45365,                 1.3886,                 1.0804,                 1.6694,               0.000854,               0.000854,               0.000854
                     19,                 1.2942,                 1.1225,                 1.4671,                0.78627,                0.69218,                0.76673,                0.46764,                 1.3993,                 1.0131,                 1.6678,             0.00082925,             0.00082925,             0.00082925
                     20,                  1.289,                 1.0993,                  1.462,                0.81088,                0.68361,                0.75145,                0.46235,                 1.3867,                 0.9794,                 1.6686,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2715,                 1.0927,                 1.4681,                0.78868,                0.71163,                0.75332,                0.47137,                 1.3805,                 1.0168,                 1.6337,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.2376,                 1.0534,                 1.4407,                0.80534,                0.68968,                0.76418,                 0.4748,                 1.3699,                0.96977,                 1.6376,               0.000755,               0.000755,               0.000755
                     23,                 1.2625,                 1.0555,                   1.45,                  0.803,                0.70737,                0.77375,                0.48347,                 1.3685,                0.94069,                 1.6282,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2312,                 1.0218,                 1.4326,                0.80912,                0.69465,                0.78074,                0.49842,                 1.3326,                0.95008,                 1.6098,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2186,                 1.0046,                 1.4162,                0.80042,                0.73493,                0.79057,                0.50719,                 1.3139,                0.90784,                 1.5971,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.2107,                 1.0028,                 1.4245,                0.80642,                0.74072,                 0.7995,                0.51751,                 1.3097,                0.86969,                 1.5803,               0.000656,               0.000656,               0.000656
                     27,                 1.1999,                0.95651,                 1.4058,                0.77147,                0.73826,                0.78332,                0.49619,                 1.3136,                0.91214,                 1.5825,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.1812,                 0.9388,                 1.4029,                0.82458,                0.72339,                0.79777,                 0.5061,                 1.3374,                0.88086,                 1.5996,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.1572,                 0.9196,                 1.3717,                 0.8241,                0.70816,                0.78587,                0.50317,                 1.3223,                0.88446,                 1.6019,             0.00058175,             0.00058175,             0.00058175
                     30,                 1.1652,                0.93386,                 1.3815,                0.80549,                0.72538,                0.77834,                0.49693,                 1.3154,                0.87205,                 1.5924,               0.000557,               0.000557,               0.000557
                     31,                 1.1405,                0.89662,                 1.3658,                0.81723,                0.73588,                0.78515,                0.52062,                 1.2719,                0.82033,                  1.555,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.1393,                0.90247,                 1.3631,                 0.8284,                0.74877,                0.80541,                0.51828,                 1.2865,                 0.8369,                 1.5655,              0.0005075,              0.0005075,              0.0005075
                     33,                  1.099,                0.86645,                 1.3529,                0.84064,                0.72359,                0.80611,                0.53419,                 1.2354,                0.82003,                 1.5179,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1297,                0.87681,                 1.3607,                0.84142,                0.73883,                0.80832,                0.51638,                 1.2597,                0.80541,                 1.5552,               0.000458,               0.000458,               0.000458
                     35,                 1.1117,                0.83986,                 1.3409,                  0.834,                0.73295,                 0.8156,                0.52833,                 1.2611,                0.79563,                 1.5223,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.0857,                0.81795,                 1.3283,                 0.8273,                0.75601,                0.81526,                0.53141,                 1.2398,                0.78139,                 1.5102,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.0931,                0.82387,                 1.3391,                0.77542,                0.77253,                0.80559,                0.52428,                 1.2656,                 0.8092,                 1.5598,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.0949,                0.82389,                 1.3329,                0.78498,                0.80091,                0.82079,                0.53101,                 1.2515,                0.77733,                 1.5102,               0.000359,               0.000359,               0.000359
                     39,                 1.0633,                0.79703,                 1.3049,                0.83538,                0.74417,                0.80089,                0.52976,                 1.2453,                0.77468,                 1.5191,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.0589,                0.79651,                 1.3141,                0.85389,                0.72479,                0.81025,                0.52387,                 1.2305,                0.77314,                 1.5012,              0.0003095,              0.0003095,              0.0003095
                     41,                0.98012,                0.63787,                 1.2819,                0.80498,                0.74406,                 0.8066,                0.53304,                 1.2464,                 0.7559,                 1.5401,             0.00028475,             0.00028475,             0.00028475
                     42,                0.95857,                 0.6033,                  1.263,                0.81789,                0.77536,                0.81644,                0.54948,                 1.2297,                0.73688,                 1.5191,                0.00026,                0.00026,                0.00026
                     43,                0.93846,                0.58141,                 1.2535,                0.85613,                0.74464,                0.81546,                0.54849,                 1.2372,                0.73102,                 1.5229,             0.00023525,             0.00023525,             0.00023525
                     44,                0.91443,                0.55767,                 1.2464,                0.82215,                0.77434,                0.81699,                0.55181,                 1.2078,                0.71492,                 1.5032,              0.0002105,              0.0002105,              0.0002105
                     45,                0.90776,                0.55613,                 1.2354,                0.83308,                0.76258,                0.82256,                0.55474,                 1.2271,                0.71095,                 1.5186,             0.00018575,             0.00018575,             0.00018575
                     46,                0.88626,                0.53954,                 1.2137,                0.86723,                0.75157,                0.82687,                0.55174,                   1.21,                0.71013,                 1.5026,               0.000161,               0.000161,               0.000161
                     47,                0.86975,                 0.5263,                 1.1984,                0.77606,                0.81067,                 0.8151,                0.55641,                 1.2032,                0.72352,                 1.4989,             0.00013625,             0.00013625,             0.00013625
                     48,                0.85319,                0.51913,                 1.1964,                0.83872,                0.75444,                0.81902,                0.55847,                 1.1975,                0.70668,                 1.5052,              0.0001115,              0.0001115,              0.0001115
                     49,                0.84922,                0.50163,                 1.1912,                0.83151,                 0.7601,                 0.8211,                0.56048,                 1.1934,                0.70687,                 1.4989,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                0.82236,                0.49618,                 1.1717,                0.83333,                0.77301,                0.82057,                0.56327,                 1.1906,                0.69344,                 1.5164,                6.2e-05,                6.2e-05,                6.2e-05
